,LSOA21CD,IMD_decile,Percent no qualifications 16 and over,Percent bad and very band health,Population density per km,Percent lone family household
20913,E01022019,5,19.78246091,6.705882353,8202.1,9.360374415
20914,E01022020,6,15.40027137,6.123662307,5899.3,6.131386861
20915,E01022021,4,19.32841933,5.241935484,3136.5,9.752747253
20916,E01022022,3,25.54744526,6.064601187,2692.1,5.892857143
20917,E01022023,2,26.86192469,7.997265892,1914.9,2.878787879
20918,E01022024,3,23.77389859,6.973684211,9814.7,4.087591241
20919,E01022025,1,37.46928747,15.97782258,9397.5,3.263157895
20920,E01022026,1,28.25607064,9.431751611,3399,4.159733777
20921,E01022027,1,28.87175893,11.20996441,8857.4,3.773584906
20922,E01022028,4,21.52006832,5.173635719,6273,7.473309609
20923,E01022030,1,36.38426626,14.24936387,9060.6,12.5
20924,E01022031,1,31.20567376,9.830007391,7402.5,10.26936027
20925,E01022032,1,32.70963271,10.20742358,11664.5,9.027777778
20926,E01022033,4,32.84132841,10.62965471,12987.7,10.96345515
20927,E01022034,4,29.84104046,7.402597403,5591.3,5.856515373
20928,E01022035,5,33.08099924,8.707671044,5389.5,3.458646617
20929,E01022036,4,28.77767084,5.666666667,8653,5.801104972
20930,E01022037,3,29.61203484,12.48196248,6375,4.054054054
20931,E01022038,2,29.79079498,8.028169014,6212,6.291390728
20932,E01022039,2,30.03194888,12.03457447,6926.4,6.928838951
20933,E01022040,3,36.2244898,10.1799775,5375.4,9.185441941
20934,E01022041,4,29.61832061,9.060846561,7322.7,5.996131528
20935,E01022042,1,32.50996016,10.20012912,3872.7,9.356725146
20936,E01022043,1,25.15463918,8.196721311,2807.2,9.751434034
20937,E01022044,2,34.85714286,9.468540012,4397.6,7.100591716
20938,E01022045,1,32.76682529,10.56338028,1163.5,3.27510917
20939,E01022046,2,33.51424695,10.14067995,2160.3,6.414473684
20940,E01022047,3,27.66798419,7.310344828,2607,1.821192053
20941,E01022048,5,26.11607143,9.959893048,4236.4,3.465346535
20942,E01022049,3,27.72435897,6.790945406,6888.7,9.46969697
20943,E01022050,4,27.11864407,7.280750138,7869.9,5.247376312
20944,E01022051,5,18.10606061,6.164828034,1066.3,6.366459627
20945,E01022052,6,18.83830455,5.215711526,3573.6,6.891271057
20946,E01022053,6,20.76344708,5.409356725,1126.9,4.769230769
20947,E01022054,2,28.81355932,8.476736775,8914.1,11.21673004
20948,E01022055,2,32.46268657,9.583608724,2088.5,5.017301038
20949,E01022056,1,22.95081967,8.996539792,6446.8,5.676126878
20950,E01022057,8,13.11813187,2.401372213,2407.2,2.333931777
20951,E01022058,7,15.51347414,2.978723404,2616.1,3.929273084
20952,E01022059,7,14.29618768,3.450400493,2378,3.317535545
20953,E01022060,8,14.73936489,3.278688525,2208.2,4.047976012
20954,E01022061,8,12.80487805,3.365079365,3283.1,4.341085271
20955,E01022062,9,11.02362205,2.418379686,4857.2,8.833922261
20956,E01022063,8,12.95525494,3.172021147,5330.3,8.673469388
20957,E01022064,9,12.6993865,3.175429464,6774.9,7.337883959
20958,E01022067,7,19.21475312,3.850156087,3233.8,10.04016064
20959,E01022068,8,14.53855879,2.8014007,4694.9,4.459691252
20960,E01022069,9,22.03636364,6.199123356,3284.6,2.991452991
20961,E01022070,9,16.26319056,3.746253746,4425,6.039325843
20962,E01022071,7,9.097472924,1.887905605,3744.6,5.084745763
20963,E01022072,9,11.81710214,2.31436837,5417.2,3.928266439
20964,E01022073,8,17.28691477,4.516755707,3071.5,3.171641791
20965,E01022074,8,14.53138435,3.297442799,1898.2,3.896103896
20966,E01022075,10,8.775510204,2.456331878,3440.7,4.889589905
20967,E01022076,8,13.84408602,5.343047966,3468.5,2.857142857
20968,E01022077,10,14.0776699,2.625182304,3624.6,4.84496124
20969,E01022078,6,16.55574043,5.573988056,1405.8,2.650176678
20970,E01022079,10,13.73783629,3.833718245,2217.5,5.279503106
20971,E01022080,9,13.32752613,1.980874317,1757.7,6.441223833
20972,E01022081,9,15.65802113,3.8996139,3487.2,7.308377897
20973,E01022082,9,13.153457,3.349493169,597.6,4.074074074
20974,E01022083,9,17.65472313,3.229398664,3427.6,4.752475248
20975,E01022084,10,10.84183673,3.090727817,3376.2,6.191950464
20976,E01022085,9,11.73104435,3.188405797,3645.1,4.813664596
20977,E01022086,6,16.4603059,3.565365025,7457.5,7.333333333
20978,E01022087,8,11.33924405,3.698332125,3725,9.33572711
20979,E01022088,7,13.74738311,3.128621089,1677.6,6.564885496
20980,E01022089,7,12.25905937,3.163771712,4540,3.485254692
20981,E01022092,7,13.52040816,2.591792657,2414.2,3.304347826
20982,E01022093,6,19.93355482,3.680709534,4812.3,4.656862745
20983,E01022094,9,10.44585987,1.710261569,2383.8,5.835543767
20984,E01022095,7,15.72413793,5.606936416,2534.1,5.532503458
20985,E01022096,6,15.16034985,2.814885496,683.8,3.333333333
20986,E01022097,7,12.36793039,3.355704698,980.7,4.496124031
20987,E01022098,7,9.806949807,2.367242482,1226,3.492063492
20988,E01022099,8,9.141895681,2.342023862,4802.9,7.400379507
20989,E01022100,10,8.35117773,2.053140097,5914.1,5.476673428
20990,E01022101,9,7.676767677,3.091013165,6788.2,5.855855856
20991,E01022102,5,8.986928105,2.852776363,2013.1,3.640040445
20992,E01022104,9,10.85972851,2.568593112,1735.2,5.362776025
20993,E01022105,10,6.666666667,1.830508475,2440.2,4.208754209
20994,E01022106,10,11.27063891,2.863822326,4582.8,5.329153605
20995,E01022107,10,10.87124133,4.577240941,664.3,6.398537477
20996,E01022108,9,15.82278481,4.126794258,1485.7,3.225806452
20997,E01022109,10,8.802537669,2.278481013,8547.6,12.59398496
20998,E01022110,8,12.19512195,4.613200852,10330.8,8.096280088
20999,E01022111,10,9.467455621,2.54735467,6153.8,9.484193012
21000,E01022112,10,12.05882353,2.189781022,2977,9.577922078
21001,E01022113,10,8.287292818,2.866972477,5718.8,12.90322581
21002,E01022114,10,8.882082695,3.372891943,115567,1.40625
21003,E01022115,10,7.772795217,2.112676056,10489.7,1.794258373
21004,E01022116,10,9.575353872,3.052422031,6380.9,5.407882676
21005,E01022117,5,8.634020619,4.592774036,7627.4,4.017857143
21006,E01022118,10,6.015037594,1.418918919,25504.4,2.8125
21007,E01022119,10,8.102766798,1.062959935,8520.4,3.452380952
21008,E01022120,2,24.07261247,7.640586797,9538,2.955082742
21009,E01022121,3,20.55722892,5.445544554,7536.9,3.794642857
21010,E01022122,2,22.39072257,6.689655172,13541.7,3.29218107
21011,E01022123,9,16.86615887,3.600729262,7802.2,5.541561713
21012,E01022124,4,12.63345196,9.03814262,5662,6.836248013
21013,E01022125,10,6.712062257,3.58056266,5558.2,6.386554622
21014,E01022126,6,7.013396375,3.365032919,8981.1,6.208718626
21015,E01022127,7,8.298171589,3.873824018,7834.5,6.603773585
21016,E01022128,10,6.672025723,1.794871795,3289.1,5.454545455
21017,E01022129,10,11.22129436,5.173133083,1746.4,4.824561404
21018,E01022130,10,8.738601824,2.922885572,9604.7,6.600660066
21019,E01022131,3,25.62141491,7.168983175,9965.3,7.115384615
21020,E01022132,3,25.51546392,6.220735786,5203,6.457925636
21021,E01022133,3,29.78322337,4.599303136,8917.9,6.986027944
21022,E01022134,4,20.74468085,6.099110546,9535.9,8.766233766
21023,E01022135,10,9.930715935,2.260559191,6456.5,8.253094911
21024,E01022136,9,9.523809524,4.606240713,7658.2,9.205020921
21025,E01022137,9,9.812409812,1.711652403,3543.7,11.09090909
21026,E01022138,10,5.589225589,2.271368799,6826.5,7.788944724
21027,E01022139,9,6.649937265,2.978723404,6252.2,7.191780822
21028,E01022140,9,12.03319502,5.857445307,11072.2,4.970178926
21029,E01022141,7,8.217054264,3.610108303,3800,5.578231293
21030,E01022142,6,11.63934426,3.770848441,5952.7,4.533678756
21031,E01022143,10,8.932461874,2.494117647,7818.5,4.25170068
21032,E01022144,10,15.25565801,4.396371249,9984.2,6.376360809
21033,E01022145,10,9.439528024,2.746365105,4991.3,7.112970711
21034,E01022146,10,9.183673469,4.515173945,9707.3,9.160305344
21035,E01022147,1,26.3868066,9.128386337,3437.7,5.732484076
21036,E01022148,7,16.75315048,5.509816339,2499.7,7.55033557
21037,E01022149,4,17.72575251,5.450874832,5301,6.105006105
21038,E01022150,5,16.19937695,4.147465438,3138.6,8.149405772
21039,E01022151,5,14.43020904,4.741896759,2073.8,7.551020408
21040,E01022152,1,25.35496957,8.858739026,4738.1,4.333333333
21041,E01022153,3,11.27080182,4.155313351,8508,6.323529412
21042,E01022154,5,10.90473337,3.993435449,2932.8,6.578947368
21043,E01022155,8,17.85983421,5.239616613,4064.2,4.797601199
21044,E01022156,5,11.67741935,3.397804496,13549.8,5.672009864
21045,E01022157,3,24.00690846,4.500330907,5256,5.900621118
21046,E01022159,4,21.14467409,5.151515152,2648.3,7.429420505
21047,E01022160,3,22.47255921,5.503355705,6258,7.585139319
21048,E01022161,6,17.89383562,4.098360656,11618.1,7.931034483
21049,E01022162,7,22.67964072,4.358812382,2084.1,7.605177994
21050,E01022163,8,17.44284505,3.986254296,6817.7,7.130730051
21051,E01022164,2,29.03225806,6.069160198,4753.6,9.780775717
21052,E01022165,9,15.60784314,3.91214825,6502.2,8.006279435
